16 10000 2.4 3 0.05 100 0 0 0 0 0 0 0 0 0 0
-1 -1 1 1 -1 1 1 -1 -1 1 1 1 1 1 -1 -1 
-1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 -1 -1 
-1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 
1 1 1 1 1 1 -1 -1 1 1 1 1 1 -1 1 1 
-1 1 1 1 -1 -1 -1 -1 1 1 1 1 -1 1 1 1 
1 1 -1 1 -1 -1 -1 1 1 1 1 1 1 1 1 1 
1 -1 -1 -1 -1 -1 1 -1 -1 1 1 1 1 1 1 1 
1 1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 1 1 
-1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 
1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 -1 -1 -1 1 
-1 -1 1 1 -1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 
-1 -1 1 1 -1 -1 1 1 -1 1 1 1 1 1 -1 -1 
1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1 1 1 -1 -1 1 -1 -1 1 -1 -1 -1 -1 1 -1 1 
1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 
1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 1 1 
1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 
1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 
1 1 1 1 1 1 1 -1 -1 -1 1 1 1 -1 -1 -1 
1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 
1 1 -1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 1 
-1 1 1 1 -1 -1 1 1 -1 1 1 1 1 1 1 1 
-1 1 1 1 1 -1 -1 -1 -1 -1 1 1 1 1 1 1 
1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 -1 1 
1 1 1 1 1 1 -1 -1 -1 1 -1 -1 -1 -1 1 1 
1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 
1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 
1 1 1 1 1 1 1 -1 -1 1 -1 -1 -1 -1 -1 -1 
1 1 -1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 1 
-1 -1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 1 1 -1 -1 -1 
-1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 
-1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
